Site_Number,Location_Description,Site_Type
964,ABBOTTS/CLELANDS DEVELOPMENTS,INT
968,ABBOTTS/GAINE/MONASH,INT
972,ABBOTTS/NATIONAL,INT
983,ABBOTTS/REMINGTON,INT
1053,ABBOTTSFORD/HAINES,INT
5300,ABERDEEN/PAKINGTON,INT
5302,ABERDEEN/SHANNON,INT
4975,AIRPORT DR/CENTRE RD,INT
1154,AITKEN/GRAND,INT
768,ALBERT NR BAMBURY,POS
4440,ALBERT NR EADES,POS
4234,ALBERT/BUCKLEY,INT
4911,ALBERT/CECIL/OLD AUGHTIE,INT
4912,ALBERT/CLARENDON,INT
4447,ALBERT/CLARENDON,INT
3265,ALBERT/DUNDAS/STATION,INT
4445,ALBERT/GISBORNE,INT
3263,ALBERT/GOWER,INT
4243,ALBERT/IRVING,INT
4733,ALBERT/LAKESIDE DRV,INT
4446,ALBERT/LANSDOWNE,INT
4913,ALBERT/MORAY,INT
2294,ALBERT/MSAC ACCESS ROAD EXIT,INT
3262,ALBERT/MURRAY,INT
4444,ALBERT/NICHOLSON/LONSDALE,INT
4448,ALBERT/POWLETT,INT
3264,ALBERT/RAGLAN,INT
4449,ALBERT/SIMPSON,INT
3260,ALBERT/TYLER,INT
3261,ALBERT/WOOD,INT
3785,ALBION NR HOWARD,POS
3787,ALBION NR THISTLE,POS
4552,ALEXANDRA/ANDERSON,INT
4549,ALEXANDRA/LINLITHGOW,INT
4550,ALEXANDRA/SWAN BRIDGE                 VM6,INT
4739,ALEXANDRA/WILLIAMS NTH,INT
2678,ALFRIEDA NR MAIN EAST,FLASH PX
6322,ALLAN NR ALBION,FLASH PX
6323,ALLAN NR LAKE,FLASH PX
4846,ALMA/WESTBURY,INT
2186,AMAROO/CRAIGIEBURN BYPASS NB EXIT R,INT
2799,AMIS BTN VISTA & BUCKLEY,FLASH PX
5045,ANAKIE (BELL POST SC),INT
5110,ANAKIE NR BARTON,POS
5127,ANAKIE NR KINLOCK,INT
5099,ANAKIE/SEPARATION,INT
4555,ANDERSON NR ACLAND,POS
4945,ANDERSON NR RIDLEY,POS
2642,ANDERSON RD/FOUNDRY RD,INT
4956,ANDERSON/DURHAM/GLENGALA,INT
4959,ANDERSON/FORREST/SUN/FRASER,INT
1299,ANDERSON/GARDINER,INT
149,ANDERSON/HARDY,INT
6084,ANDREW FAIRLEY/SPC CROSSING,INT
1055,APPLETON DOCK LINK/ENTERPRIZE,POS
3665,APPLETON DOCK/ENTERPRIZE,INT
2578,AQUATIC DR NR ROSAMOND RD,FLASH PX
2549,AQUATIC NR ROSAMOND,FLASH PX
1168,AQUEDUCT RD NR ERINNE CT,POS
7093,AQUEDUCT/ST HELENA SHOP CENTRE,INT
6069,ARCHER/WILMOT/POPLAR,INT
6069,ARCHER/WILMOT/POPLAR,INT
4493,ARDEN/ABBOTSFORD,INT
4494,ARDEN/CURZON,INT
4492,ARDEN/DRYBURGH/MACAULAY,INT
4495,ARDEN/ERROL,INT
3947,ARDEN/LAURENS,INT
3764,ARDEN/LLOYD,INT
6210,ARNOLD NR STEWART,POS
6202,ARNOLD NR STEWART,POS
2198,ARNOLD/SPRING,INT
2734,ARTHUR/TAYLORS,INT
1013,ASCOT VALE NR EDINBURGH,POS
3832,ASCOT VALE NR MOONEE,POS
1005,ASCOT VALE/GLADSTONE,INT
1011,ASCOT VALE/KENT,INT
2520,ASHLEY ST/CENTRAL WEST PLAZA,INT
4950,ASHLEY/BARKLY,INT
4948,ASHLEY/CHURCHILL,INT
4949,ASHLEY/SOUTH,INT
4951,ASHLEY/SUNSHINE/DEMPSTER,INT
4690,ATHERTON NR DRUMMOND,POS
2959,ATHERTON NR REGENT (OAK FIRE STATION),FIRE W/W
4691,ATHERTON/ATKINSON/HANOVER,INT
2957,ATHERTON/STATION,INT
4276,AUBURN NR AIREDALE,POS
2848,AUBURN NR BURGESS,POS
4286,AUBURN NR CATO,POS
4260,AUBURN/RATHMINES/LIDDIARD,INT
4271,AUBURN/RIVERSDALE,INT
5096,AUTUMN/PAKINGTON/GORDON,INT
5096,AUTUMN/PAKINGTON/GORDON,INT
5247,AVIATION NR RAILWAY (TRIHOLM),FLASH PX
5261,AVIATION ROAD/MAHER ROAD,INT
5067,BACCHUS MARSH/CORIO VILL. SH.,INT
5160,BACCHUS MARSH/GISBORNE(ROBERTSON),FLASH PX
5073,BACCHUS MARSH/PURNELL,INT
5157,BACCHUS MARSH-GEELONG NR STATION,POS
5800,BACCHUS-GISBORNE BTW MAIN & BENNETT,POS
2055,BAKER NR JOHNSON,FLASH PX
4134,BAKERS NR CATHERINE,POS
2693,BALACLAVA NR EMPRESS,POS
4096,BALACLAVA NR KINROSS,POS
2691,BALACLAVA NR LABASSA,POS
2748,BALACLAVA/BAMBRA,INT
4075,BALACLAVA/HAWTHORN,INT
4076,BALACLAVA/KAMBROOK,INT
4074,BALACLAVA/KOOYONG,INT
4077,BALACLAVA/NORMANBY,INT
4073,BALACLAVA/ORRONG,INT
3078,BALCOMBE BETWEEN BLUFF AND EBDEN,POS
4873,BALCOMBE NR COMO PDE WEST,POS
4865,BALCOMBE NR HAYDENS,POS
4870,BALCOMBE NR MICHAEL,POS
4619,BALCOMBE NR MOREY,POS
4640,BALCOMBE/CHARMAN,INT
4866,BALCOMBE/RESERVE,INT
4641,BALCOMBE/SWANSTON,INT
1157,BALLAN/BOLTON,INT
5255,BALLAN/CAMBRIDGE,INT
2503,BALLARAT RD/MOORE,INT
5872,BALLARAT-BUNINYONG RD NR DAMACUS COLLEGE,INT
5876,BALLARAT-BUNINYONG/BARKLY,INT
5873,BALLARAT-BUNINYONG/HOCKING,INT
5874,BALLARAT-BUNINYONG/RECREATION,INT
517,BALLARTO RD NR GREENWOOD,POS
761,BALLARTO/MCCLELLAND,INT
2686,BALLARTO/MCCORMICKS,INT
4069,BALWYN NR MILLAH,POS
4057,BALWYN/BELMORE,INT
4066,BALWYN/MONT ALBERT,INT
4098,BAMBRA NR BUNDEERA,POS
4081,BAMBRA/GLEN EIRA,INT
3363,BANKSIA NR MOUNT,POS
3362,BANKSIA/CAPE,INT
